node,name
prot1,ENSG00000225528
prot2,NUDT4B
prot3,SNHG32
prot4,TRBV20OR9-2
prot5,IGKV3-7
prot6,IGKV1D-42
prot7,IGLV4-69
prot8,IGLV8-61
prot9,IGLV4-60
prot10,IGLV11-55
prot11,IGLV10-54
prot12,IGLV1-50
prot13,IGLV5-48
prot14,IGLV7-46
prot15,IGLV5-37
prot16,IGLV2-33
prot17,IGLV3-22
prot18,IGLV2-18
prot19,IGLV3-16
prot20,IGLV3-12
prot21,IGLV3-10
prot22,IGLV3-9
prot23,IGLV4-3
prot24,TRGV11
prot25,TRBV7-3
prot26,TRBV19
prot27,TRBV20-1
prot28,TRBV24-1
prot29,TRBV25-1
prot30,IGKV2-28
prot31,IGHV3-64
prot32,TRGV2
prot33,IGHV4-4
prot34,IGKV2D-24
prot35,TRGJ1
prot36,IGKV2D-29
prot37,IGKV1D-17
prot38,IGKV1-27
prot39,IGKV2D-30
prot40,IGKV1-37
prot41,TRAV12-2
prot42,TRAV6
prot43,TRAV9-1
prot44,TRAV7
prot45,TRAV8-7
prot46,TRAJ23
prot47,TRAJ12
prot48,TRAJ2
prot49,TRAJ16
prot50,TRAJ43
prot51,TRAJ21
prot52,TRAJ48
prot53,TRAV36DV7
prot54,TRDJ2
prot55,TRAJ26
prot56,TRAJ5
prot57,TRAJ59
prot58,TRDJ3
prot59,TRAJ52
prot60,TRAJ33
prot61,TRAJ46
prot62,TRAV23DV6
prot63,TRAJ27
prot64,TRAJ38
prot65,TRAJ17
prot66,TRAJ53
prot67,TRAJ45
prot68,TRAJ32
prot69,TRAJ28
prot70,TRAV18
prot71,TRAJ50
prot72,TRAJ44
prot73,TRAJ18
prot74,TRAJ49
prot75,TRAJ30
prot76,TRAJ35
prot77,TRAJ3
prot78,TRAJ19
prot79,TRAJ47
prot80,TRAJ11
prot81,TRAJ42
prot82,TRAJ22
prot83,TRAJ20
prot84,TRAJ56
prot85,TRAJ6
prot86,TRDJ4
prot87,TRAJ4
prot88,TRAJ25
prot89,TRAJ24
prot90,TRAJ31
prot91,TRAJ41
prot92,TRAJ57
prot93,TRDJ1
prot94,TRAJ61
prot95,TRAJ13
prot96,TRAJ39
prot97,TRAJ29
prot98,TRAJ54
prot99,TRAJ1
prot100,TRAJ7
prot101,LOC100509620
prot102,PPIAL4E
prot103,PPIAL4H
prot104,IGHV4OR15-8
prot105,IGHV3OR16-12
prot106,IGHD2OR15-2B
prot107,IGHV1OR15-1
prot108,IGKV1OR2-108
prot109,IGHV3OR15-7
prot110,IGHD3OR15-3B
prot111,IGHV3OR16-13
prot112,IGHV3OR16-10
prot113,IGHV3OR16-8
prot114,IGLV5-45
prot115,IGHV4-30-2
prot116,IGKV3D-15
prot117,IGKV1D-8
prot118,TRAV30
prot119,TRAV27
prot120,TRAV9-2
prot121,TRAV26-1
prot122,TMEM265
prot123,KCNE1B
prot124,TRAJ36
prot125,NBPF19
prot126,ENSG00000233757
prot127,SPEGNB
prot128,TRBV16
prot129,TBC1D3D
prot130,ENSG00000278263
prot131,IGKV2-40
prot132,P3R3URF
prot133,ENSG00000278646
prot134,ELOA3CP
prot135,MEIKIN
prot136,TBC1D3I
prot137,IGHV1OR21-1
prot138,TRBV15
prot139,TRAJ37
prot140,TRBV17
prot141,TRBV18
prot142,TBC1D3E
prot143,ZDHHC11B
prot144,TMSB15B
prot145,CYP2D7
prot146,TBC1D3K
prot147,LOC102723996
prot148,DEFB131B
prot149,ENSG00000286106
prot150,SMIM26
prot151,CCDC187
prot152,UQCRHL
prot153,ENSG00000269167
prot154,ENSG00000280433
prot155,CCDC28A-AS1
prot156,ENSG00000279493
prot157,IGKV2D-26
prot158,IGKV3D-11
prot159,IGLV5-52
prot160,IGLV3-32
prot161,TRGV10
prot162,TRGV1
prot163,TRBV5-3
prot164,TRBV6-7
prot165,TRBV5-7
prot166,TRBV23-1
prot167,IGHV1-45
prot168,IGHV3-49
prot169,IGKV6D-21
prot170,IGKJ4
prot171,TRBJ2-6
prot172,IGLJ1
prot173,TRBJ2-7
prot174,IGLJ2
prot175,TRGJP2
prot176,IGKJ2
prot177,IGLJ5
prot178,TRBJ2-4
prot179,IGKJ1
prot180,IGLJ7
prot181,IGLJ6
prot182,TRBJ2-2
prot183,IGKJ3
prot184,TRGJP1
prot185,IGLJ3
prot186,IGLJ4
prot187,TRBJ2-2P
prot188,IGKJ5
prot189,TRBJ2-5
prot190,TRBJ2-1
prot191,TRAV14DV4
prot192,TRBV13
prot193,TRBV6-6
prot194,TRBV6-8
prot195,TRAV8-3
prot196,TRAV8-1
prot197,TRBV7-1
prot198,TRAV16
prot199,TRAV19
prot200,POTEB
prot201,LY6G6E
prot202,IGLV1-36
prot203,TRGV5
prot204,TRBV9
prot205,IGHV6-1
prot206,IGHV3-15
prot207,IGHV3-21
prot208,IGHV2-26
prot209,IGHV3-73
prot210,IGHV7-81
prot211,NPIPA9
prot212,IGHV3-74
prot213,IGHV3-43
prot214,IGLV9-49
prot215,IGHV3-72
prot216,IGKV1D-43
prot217,TRBJ2-3
prot218,TRAV2
prot219,TRAV13-2
prot220,TRAV8-2
prot221,TRAV1-2
prot222,TRAV10
prot223,TRAV13-1
prot224,TRAV3
prot225,TRAV12-1
prot226,TRAV1-1
prot227,TRAV5
prot228,TRAV8-6
prot229,TRAV39
prot230,TRAV38-1
prot231,TRAV26-2
prot232,TRAV41
prot233,TRAV4
prot234,TRAV12-3
prot235,TRAV24
prot236,TRAV34
prot237,TRAV20
prot238,TRAV17
prot239,TRAV25
prot240,TRAV22
prot241,TRAV21
prot242,TRAV40
prot243,PPIAL4C
prot244,IGHV2OR16-5
prot245,IGHV1OR15-9
prot246,GATD3B
prot247,IGKV1D-13
prot248,TRBV12-4
prot249,LOC102724159
prot250,PIGBOS1
prot251,SIK1B
prot252,IGHV1-69D
prot253,ENSG00000286075
prot254,IGKV6-21
prot255,IGKV3D-20
prot256,IGKV6D-41
prot257,TRGV8
prot258,TRGV4
prot259,IGHV1-3
prot260,IGHV3-16
prot261,IGHV1-18
prot262,IGHV3-20
prot263,IGHV1-24
prot264,IGHV4-28
prot265,IGHV3-35
prot266,IGHV3-38
prot267,IGHV5-51
prot268,IGHV1-58
prot269,IGHV4-61
prot270,IGHV3-66
prot271,IGHV2-70D
prot272,IGKV3D-7
prot273,TRBV5-4
prot274,IGHJ1
prot275,TRGJP
prot276,IGKV1-8
prot277,IGKV2-24
prot278,IGKV1-9
prot279,IGKV1-6
prot280,IGKV1-12
prot281,IGKV3OR2-268
prot282,MT-RNR1
prot283,CCDC163
prot284,MUC21
prot285,ENSG00000257215
prot286,KRTAP4-8
prot287,ASIC5
prot288,IGHD5OR15-5A
prot289,ENSG00000274243
prot290,ENSG00000276676
prot291,PRAMEF33
prot292,LOC107984156
prot293,HLA-DRA
prot294,IGHV1-69-2
prot295,ENSG00000274971
prot296,ENSG00000278776
prot297,ENSG00000275428
prot298,KIR3DP1
prot299,ENSG00000282676
prot300,ENSG00000278414
prot301,ENSG00000274063
prot302,KIR2DP1
prot303,ENSG00000274563
prot304,ENSG00000278178
prot305,ENSG00000276253
prot306,HNRNPCL2
prot307,ENSG00000277596
prot308,PRAMEF9
prot309,ENSG00000275798
prot310,ENSG00000274707
prot311,HNRNPCL4
prot312,ENSG00000278401
prot313,ENSG00000275306
prot314,ENSG00000280514
prot315,ENSG00000281757
prot316,ENSG00000281759
prot317,IGLV5-39
prot318,IGHJ6
prot319,IGHJ5
prot320,IGHJ4
prot321,IGHV7-4-1
prot322,IGHJ3
prot323,IGHD3-9
